datetime,netload,load,pv,temp,irradiance,month_x,month_y,day_x,day_y,hour_x,hour_y
2012-07-08 15:00:00,1.201,1.821,0.62,30.66,528.31,1.2246467991473532e-16,-1.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479
2012-07-08 16:00:00,0.913,1.44,0.52664,29.95,368.53,1.2246467991473532e-16,-1.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004
2012-07-08 17:00:00,1.176,1.583,0.4067199999999999,29.25,188.31,1.2246467991473532e-16,-1.0,0.0,1.0,-0.9659258262890681,-0.2588190451025215
2012-07-08 18:00:00,1.789,2.069,0.28,28.55,61.81,1.2246467991473532e-16,-1.0,0.0,1.0,-1.0,-1.8369701987210297e-16
2012-07-08 19:00:00,1.254,1.367,0.1132799999999999,27.18,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.9659258262890684,0.2588190451025203
2012-07-08 20:00:00,1.257,1.27,0.01336,25.81,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.866025403784439,0.49999999999999933
2012-07-08 21:00:00,1.701,1.701,0.0,24.43,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.7071067811865477,0.7071067811865474
2012-07-08 22:00:00,2.542,2.542,0.0,23.92,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
2012-07-08 23:00:00,1.895,1.895,0.0,23.4,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.25881904510252157,0.9659258262890681
2012-07-09 00:00:00,1.02,1.02,0.0,22.89,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.0,1.0
2012-07-09 01:00:00,1.459,1.459,0.0,22.4,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.25881904510252074,0.9659258262890683
2012-07-09 02:00:00,0.946,0.946,0.0,21.91,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2012-07-09 03:00:00,0.664,0.664,0.0,21.43,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7071067811865475,0.7071067811865476
2012-07-09 04:00:00,0.712,0.712,0.0,21.52,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2012-07-09 05:00:00,0.81,0.81,0.0,21.61,52.98,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.9659258262890682,0.25881904510252096
2012-07-09 06:00:00,1.033,1.04,0.00664,21.7,200.93,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2012-07-09 07:00:00,0.922,0.955,0.03336,23.05,414.47,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063
2012-07-09 08:00:00,0.774,0.814,0.04,24.39,626.33,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
2012-07-09 09:00:00,0.742,0.862,0.12,25.73,807.29,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7071067811865476,-0.7071067811865475
2012-07-09 10:00:00,0.439,0.879,0.44,26.95,937.27,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.5000000000000003,-0.8660254037844385
2012-07-09 11:00:00,0.615,1.135,0.52,28.18,1003.96,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682
2012-07-09 12:00:00,0.276,0.903,0.62664,29.41,991.4,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
2012-07-09 13:00:00,0.091,0.824,0.73336,29.98,920.62,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.25881904510252035,-0.9659258262890684
2012-07-09 14:00:00,0.245,0.872,0.62664,30.56,789.07,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388
2012-07-09 15:00:00,0.241,0.934,0.69336,31.14,615.56,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479
2012-07-09 16:00:00,0.921,1.481,0.56,30.43,401.73,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004
2012-07-09 17:00:00,1.39,1.843,0.45336,29.72,187.97,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.9659258262890681,-0.2588190451025215
2012-07-09 18:00:00,1.076,1.263,0.18664,29.01,53.86,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2012-07-09 19:00:00,1.149,1.356,0.20664,27.61,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203
2012-07-09 20:00:00,1.442,1.475,0.03336,26.21,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.866025403784439,0.49999999999999933
2012-07-09 21:00:00,1.54,1.54,0.0,24.81,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474
2012-07-09 22:00:00,1.488,1.488,0.0,24.15,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2012-07-09 23:00:00,1.584,1.584,0.0,23.49,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.25881904510252157,0.9659258262890681
2012-07-10 00:00:00,1.047,1.047,0.0,22.83,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
2012-07-10 01:00:00,1.018,1.018,0.0,22.04,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.25881904510252074,0.9659258262890683
2012-07-10 02:00:00,0.903,0.903,0.0,21.25,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2012-07-10 03:00:00,0.594,0.594,0.0,20.47,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.7071067811865475,0.7071067811865476
2012-07-10 04:00:00,0.676,0.676,0.0,20.93,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2012-07-10 05:00:00,0.829,0.829,0.0,21.4,50.33,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.9659258262890682,0.25881904510252096
2012-07-10 06:00:00,1.107,1.107,0.0,21.87,199.91,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2012-07-10 07:00:00,0.964,1.004,0.04,24.31,409.69,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063
2012-07-10 08:00:00,0.763,0.803,0.04,26.74,622.41,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2012-07-10 09:00:00,0.947,1.067,0.12,29.18,802.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.7071067811865476,-0.7071067811865475
2012-07-10 10:00:00,0.712,1.139,0.42664,30.25,936.28,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.5000000000000003,-0.8660254037844385
2012-07-10 11:00:00,0.385,0.852,0.4667199999999999,31.32,998.47,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.258819045102521,-0.9659258262890682
