time,irradiance,temp,wind
20120111:1810,0.0,5.8,0.32
20120111:1910,0.0,5.19,0.4
20120111:2010,0.0,4.59,0.47
20120111:2110,0.0,3.99,0.55
20120111:2210,0.0,3.52,0.67
20120111:2310,0.0,3.05,0.78
20120112:0010,0.0,2.58,0.9
20120112:0110,0.0,2.39,0.91
20120112:0210,0.0,2.19,0.92
20120112:0310,0.0,1.99,0.94
20120112:0410,0.0,1.63,0.99
20120112:0510,0.0,1.27,1.04
20120112:0610,0.0,0.91,1.09
20120112:0710,0.0,1.89,0.97
20120112:0810,365.26,2.88,0.84
20120112:0910,621.61,3.86,0.72
20120112:1010,780.57,6.46,0.86
20120112:1110,845.66,9.06,0.99
20120112:1210,876.42,11.66,1.13
20120112:1310,792.94,11.15,1.09
20120112:1410,626.61,10.65,1.05
20120112:1510,28.4,10.14,1.01
20120112:1610,0.0,8.53,0.97
20120112:1710,0.0,6.93,0.94
20120112:1810,0.0,5.32,0.91
20120112:1910,0.0,4.68,1.03
20120112:2010,0.0,4.05,1.16
20120112:2110,0.0,3.42,1.28
20120112:2210,0.0,3.29,1.3
20120112:2310,0.0,3.16,1.31
20120113:0010,0.0,3.03,1.32
20120113:0110,0.0,2.79,1.36
20120113:0210,0.0,2.55,1.39
20120113:0310,0.0,2.31,1.42
20120113:0410,0.0,2.39,1.51
20120113:0510,0.0,2.48,1.6
20120113:0610,0.0,2.56,1.68
20120113:0710,0.0,3.15,1.63
20120113:0810,76.34,3.74,1.58
20120113:0910,89.22,4.33,1.53
20120113:1010,121.36,5.21,2.01
20120113:1110,144.79,6.09,2.49
20120113:1210,103.77,6.97,2.97
20120113:1310,114.68,6.97,2.94
20120113:1410,71.63,6.97,2.91
20120113:1510,44.75,6.97,2.88
20120113:1610,0.0,6.17,2.59
20120113:1710,0.0,5.36,2.3
20120113:1810,0.0,4.56,2.01
20120113:1910,0.0,4.05,1.94
20120113:2010,0.0,3.55,1.88
20120113:2110,0.0,3.05,1.81
20120113:2210,0.0,2.69,1.82
20120113:2310,0.0,2.34,1.83
20120114:0010,0.0,1.99,1.83
20120114:0110,0.0,1.89,1.71
20120114:0210,0.0,1.78,1.58
20120114:0310,0.0,1.67,1.45
20120114:0410,0.0,1.38,1.46
20120114:0510,0.0,1.08,1.48
20120114:0610,0.0,0.79,1.49
20120114:0710,0.0,1.22,1.45
20120114:0810,68.86,1.65,1.42
20120114:0910,146.77,2.08,1.38
20120114:1010,141.88,3.53,1.43
20120114:1110,139.33,4.98,1.49
20120114:1210,232.45,6.43,1.54
20120114:1310,255.0,6.4,1.6
20120114:1410,112.08,6.37,1.66
20120114:1510,53.36,6.34,1.71
20120114:1610,0.0,5.22,1.67
20120114:1710,0.0,4.11,1.63
20120114:1810,0.0,2.99,1.59
20120114:1910,0.0,2.36,1.34
20120114:2010,0.0,1.73,1.1
20120114:2110,0.0,1.11,0.86
20120114:2210,0.0,1.01,0.67
20120114:2310,0.0,0.91,0.48
20120115:0010,0.0,0.81,0.29
20120115:0110,0.0,0.53,0.4
20120115:0210,0.0,0.24,0.52
20120115:0310,0.0,-0.05,0.63
20120115:0410,0.0,-0.12,0.63
20120115:0510,0.0,-0.2,0.62
20120115:0610,0.0,-0.27,0.61
20120115:0710,0.0,0.5,0.54
20120115:0810,75.4,1.28,0.48
20120115:0910,150.7,2.05,0.41
20120115:1010,252.57,3.77,0.49
20120115:1110,768.21,5.49,0.56
20120115:1210,842.95,7.21,0.63
20120115:1310,771.05,6.98,0.73
20120115:1410,605.23,6.75,0.83
20120115:1510,30.98,6.52,0.92
20120115:1610,0.0,5.5,0.77
20120115:1710,0.0,4.47,0.62
20120115:1810,0.0,3.45,0.47
20120115:1910,0.0,2.77,0.63
20120115:2010,0.0,2.1,0.79
20120115:2110,0.0,1.43,0.95
20120115:2210,0.0,1.48,1.03
20120115:2310,0.0,1.54,1.1
20120116:0010,0.0,1.59,1.17
20120116:0110,0.0,1.38,1.19
20120116:0210,0.0,1.16,1.2
20120116:0310,0.0,0.94,1.21
20120116:0410,0.0,0.78,1.2
20120116:0510,0.0,0.63,1.18
20120116:0610,0.0,0.47,1.16
20120116:0710,0.0,1.16,1.04
20120116:0810,349.55,1.85,0.93
20120116:0910,633.69,2.54,0.81
20120116:1010,788.77,4.28,0.79
20120116:1110,878.11,6.02,0.76
20120116:1210,868.17,7.76,0.73
20120116:1310,793.62,7.6,0.91
20120116:1410,632.44,7.45,1.09
20120116:1510,30.98,7.29,1.27
20120116:1610,0.0,5.85,1.01
20120116:1710,0.0,4.4,0.75
20120116:1810,0.0,2.96,0.5
20120116:1910,0.0,2.39,0.56
20120116:2010,0.0,1.82,0.62
20120116:2110,0.0,1.26,0.68
20120116:2210,0.0,0.98,0.73
20120116:2310,0.0,0.71,0.79
20120117:0010,0.0,0.43,0.84
20120117:0110,0.0,0.4,0.84
20120117:0210,0.0,0.37,0.83
20120117:0310,0.0,0.33,0.83
20120117:0410,0.0,0.23,0.67
20120117:0510,0.0,0.12,0.51
20120117:0610,0.0,0.02,0.36
20120117:0710,0.0,0.88,0.34
20120117:0810,355.74,1.74,0.33
20120117:0910,624.45,2.6,0.32
20120117:1010,791.27,4.35,0.72
20120117:1110,880.01,6.09,1.12
20120117:1210,855.86,7.84,1.52
20120117:1310,797.54,7.44,1.43
20120117:1410,578.88,7.05,1.35
20120117:1510,34.42,6.65,1.27
20120117:1610,0.0,5.08,1.25
20120117:1710,0.0,3.52,1.23
20120117:1810,0.0,1.95,1.21
20120117:1910,0.0,1.48,1.09
20120117:2010,0.0,1.01,0.96
20120117:2110,0.0,0.54,0.83
20120117:2210,0.0,0.34,0.65
20120117:2310,0.0,0.14,0.47
20120118:0010,0.0,-0.06,0.29
20120118:0110,0.0,0.08,0.26
20120118:0210,0.0,0.21,0.23
20120118:0310,0.0,0.34,0.21
20120118:0410,0.0,0.27,0.27
20120118:0510,0.0,0.2,0.34
20120118:0610,0.0,0.13,0.4
20120118:0710,0.0,1.04,0.43
20120118:0810,363.47,1.94,0.46
20120118:0910,639.54,2.85,0.5
20120118:1010,764.46,4.82,0.81
20120118:1110,877.11,6.78,1.12
20120118:1210,880.52,8.74,1.43
20120118:1310,801.25,8.09,1.28
20120118:1410,640.14,7.45,1.13
20120118:1510,30.98,6.8,0.98
20120118:1610,0.0,5.32,0.69
20120118:1710,0.0,3.83,0.41
20120118:1810,0.0,2.35,0.12
20120118:1910,0.0,1.73,0.19
20120118:2010,0.0,1.12,0.26
20120118:2110,0.0,0.51,0.33
20120118:2210,0.0,0.46,0.36
20120118:2310,0.0,0.42,0.4
20120119:0010,0.0,0.38,0.43
20120119:0110,0.0,0.8,0.42
20120119:0210,0.0,1.22,0.42
20120119:0310,0.0,1.64,0.41
20120119:0410,0.0,1.84,0.38
20120119:0510,0.0,2.03,0.35
20120119:0610,0.0,2.23,0.32
20120119:0710,0.0,3.01,0.28
20120119:0810,92.41,3.79,0.23
20120119:0910,131.77,4.57,0.19
20120119:1010,207.88,5.92,0.19
20120119:1110,275.05,7.26,0.19
20120119:1210,358.82,8.6,0.19
20120119:1310,285.0,8.7,0.43
20120119:1410,211.84,8.81,0.67
20120119:1510,61.96,8.91,0.91
20120119:1610,0.0,8.31,0.97
20120119:1710,0.0,7.72,1.04
20120119:1810,0.0,7.12,1.1
20120119:1910,0.0,6.91,1.15
20120119:2010,0.0,6.7,1.2
20120119:2110,0.0,6.49,1.24
20120119:2210,0.0,6.39,1.11
20120119:2310,0.0,6.3,0.97
20120120:0010,0.0,6.2,0.84
20120120:0110,0.0,6.22,0.95
20120120:0210,0.0,6.24,1.05
20120120:0310,0.0,6.26,1.16
20120120:0410,0.0,6.3,1.09
20120120:0510,0.0,6.35,1.01
20120120:0610,0.0,6.39,0.94
20120120:0710,0.0,6.83,1.04
20120120:0810,59.39,7.27,1.14
20120120:0910,54.18,7.71,1.24
20120120:1010,35.82,7.86,1.61
20120120:1110,37.65,8.01,1.99
20120120:1210,34.9,8.16,2.36
20120120:1310,45.0,7.92,2.08
20120120:1410,25.71,7.67,1.8
20120120:1510,11.19,7.43,1.52
20120120:1610,0.0,6.86,1.12
20120120:1710,0.0,6.29,0.72
20120120:1810,0.0,5.72,0.32
20120120:1910,0.0,5.59,0.36
20120120:2010,0.0,5.47,0.4
20120120:2110,0.0,5.35,0.44
20120120:2210,0.0,5.58,0.46
20120120:2310,0.0,5.81,0.48
20120121:0010,0.0,6.04,0.5
20120121:0110,0.0,5.85,0.52
20120121:0210,0.0,5.66,0.55
20120121:0310,0.0,5.46,0.58
20120121:0410,0.0,5.31,0.99
20120121:0510,0.0,5.17,1.4
20120121:0610,0.0,5.02,1.81
20120121:0710,0.0,5.44,1.92
20120121:0810,338.55,5.85,2.04
20120121:0910,208.78,6.27,2.15
20120121:1010,253.05,7.1,1.9
20120121:1110,181.24,7.93,1.66
20120121:1210,137.45,8.76,1.41
20120121:1310,91.84,9.17,1.21
20120121:1410,66.12,9.58,1.01
20120121:1510,53.36,9.99,0.81
20120121:1610,0.0,9.37,0.76
20120121:1710,0.0,8.75,0.71
20120121:1810,0.0,8.13,0.66
20120121:1910,0.0,7.87,0.94
20120121:2010,0.0,7.61,1.21
20120121:2110,0.0,7.35,1.49
20120121:2210,0.0,7.46,1.58
20120121:2310,0.0,7.58,1.66
20120122:0010,0.0,7.69,1.75
20120122:0110,0.0,7.78,1.7
20120122:0210,0.0,7.86,1.65
20120122:0310,0.0,7.94,1.6
20120122:0410,0.0,7.84,1.68
20120122:0510,0.0,7.73,1.77
20120122:0610,0.0,7.63,1.85
20120122:0710,0.0,7.83,1.85
20120122:0810,240.62,8.04,1.86
20120122:0910,281.77,8.24,1.86
20120122:1010,142.04,8.62,2.12
20120122:1110,350.94,9.0,2.39
20120122:1210,136.51,9.38,2.65
20120122:1310,133.56,9.72,2.55
20120122:1410,141.46,10.07,2.45
20120122:1510,67.13,10.41,2.34
20120122:1610,0.0,9.63,2.12
20120122:1710,0.0,8.86,1.9
20120122:1810,0.0,8.08,1.68
20120122:1910,0.0,7.62,1.69
20120122:2010,0.0,7.16,1.69
20120122:2110,0.0,6.71,1.7
20120122:2210,0.0,6.5,1.9
20120122:2310,0.0,6.29,2.11
20120123:0010,0.0,6.08,2.32
20120123:0110,0.0,5.98,2.15
20120123:0210,0.0,5.88,1.98
20120123:0310,0.0,5.77,1.81
20120123:0410,0.0,5.56,1.8
20120123:0510,0.0,5.34,1.8
20120123:0610,0.0,5.13,1.79
20120123:0710,0.0,5.45,1.89
20120123:0810,72.99,5.77,1.98
20120123:0910,309.22,6.09,2.07
20120123:1010,218.2,6.98,2.17
20120123:1110,319.43,7.87,2.28
20120123:1210,711.02,8.76,2.39
20120123:1310,326.2,9.01,2.39
20120123:1410,211.96,9.25,2.39
20120123:1510,61.96,9.5,2.39
20120123:1610,0.0,8.67,2.2
20120123:1710,0.0,7.83,2.01
20120123:1810,0.0,7.0,1.82
20120123:1910,0.0,6.56,1.89
20120123:2010,0.0,6.12,1.95
20120123:2110,0.0,5.68,2.01
20120123:2210,0.0,5.47,1.98
20120123:2310,0.0,5.27,1.95
20120124:0010,0.0,5.07,1.92
20120124:0110,0.0,4.96,1.96
20120124:0210,0.0,4.85,2.0
20120124:0310,0.0,4.74,2.04
20120124:0410,0.0,4.56,2.16
20120124:0510,0.0,4.37,2.28
20120124:0610,0.0,4.19,2.4
20120124:0710,0.0,4.48,2.64
20120124:0810,391.5,4.76,2.88
20120124:0910,653.0,5.05,3.12
20120124:1010,632.51,5.69,3.31
20120124:1110,380.86,6.32,3.49
20120124:1210,770.3,6.95,3.68
20120124:1310,258.37,7.2,3.38
20120124:1410,413.25,7.45,3.08
20120124:1510,70.57,7.7,2.77
20120124:1610,1.72,7.07,2.45
20120124:1710,0.0,6.44,2.12
20120124:1810,0.0,5.81,1.79
20120124:1910,0.0,5.53,1.71
20120124:2010,0.0,5.25,1.63
20120124:2110,0.0,4.97,1.54
20120124:2210,0.0,4.9,1.63
20120124:2310,0.0,4.83,1.71
20120125:0010,0.0,4.76,1.79
20120125:0110,0.0,4.88,1.63
20120125:0210,0.0,5.0,1.47
20120125:0310,0.0,5.11,1.31
20120125:0410,0.0,5.03,1.26
20120125:0510,0.0,4.96,1.22
20120125:0610,0.0,4.88,1.17
20120125:0710,0.0,5.39,1.28
20120125:0810,225.26,5.89,1.38
20120125:0910,481.37,6.4,1.49
20120125:1010,493.63,7.24,1.65
20120125:1110,146.3,8.07,1.8
20120125:1210,109.29,8.91,1.96
20120125:1310,215.16,9.37,1.58
20120125:1410,107.14,9.84,1.2
20120125:1510,70.57,10.3,0.81
20120125:1610,2.58,9.67,0.9
20120125:1710,0.0,9.03,0.98
20120125:1810,0.0,8.4,1.06
20120125:1910,0.0,8.03,1.05
20120125:2010,0.0,7.67,1.03
20120125:2110,0.0,7.31,1.02
20120125:2210,0.0,6.64,0.86
20120125:2310,0.0,5.98,0.71
20120126:0010,0.0,5.32,0.55
20120126:0110,0.0,5.17,0.86
20120126:0210,0.0,5.01,1.17
20120126:0310,0.0,4.85,1.48
20120126:0410,0.0,4.83,1.43
20120126:0510,0.0,4.81,1.37
20120126:0610,0.0,4.79,1.32
20120126:0710,0.0,5.51,1.21
20120126:0810,407.79,6.23,1.1
20120126:0910,664.81,6.95,0.99
20120126:1010,828.91,7.92,1.12
20120126:1110,929.64,8.88,1.24
20120126:1210,902.98,9.85,1.37
20120126:1310,831.95,10.11,1.12
20120126:1410,674.59,10.36,0.87
20120126:1510,29.26,10.62,0.62
20120126:1610,2.58,9.9,0.6
20120126:1710,0.0,9.18,0.58
20120126:1810,0.0,8.46,0.57
20120126:1910,0.0,8.22,0.54
20120126:2010,0.0,7.98,0.52
20120126:2110,0.0,7.75,0.5
20120126:2210,0.0,7.78,0.63
20120126:2310,0.0,7.81,0.75
20120127:0010,0.0,7.84,0.88
20120127:0110,0.0,7.69,0.8
20120127:0210,0.0,7.53,0.72
20120127:0310,0.0,7.37,0.63
20120127:0410,0.0,7.34,0.65
20120127:0510,0.0,7.32,0.67
20120127:0610,0.0,7.29,0.69
20120127:0710,0.0,7.49,0.8
20120127:0810,40.41,7.68,0.91
20120127:0910,22.96,7.88,1.02
20120127:1010,31.22,8.17,1.12
20120127:1110,74.39,8.45,1.21
20120127:1210,83.57,8.73,1.31
20120127:1310,36.73,8.53,1.4
20120127:1410,49.59,8.32,1.49
20120127:1510,13.77,8.12,1.57
20120127:1610,2.58,7.71,1.46
20120127:1710,0.0,7.29,1.35
20120127:1810,0.0,6.88,1.24
20120127:1910,0.0,6.64,1.23
20120127:2010,0.0,6.4,1.22
20120127:2110,0.0,6.16,1.21
20120127:2210,0.0,5.98,1.25
20120127:2310,0.0,5.81,1.29
20120128:0010,0.0,5.64,1.32
20120128:0110,0.0,5.27,1.23
20120128:0210,0.0,4.9,1.13
20120128:0310,0.0,4.53,1.03
20120128:0410,0.0,4.26,1.12
20120128:0510,0.0,4.0,1.21
20120128:0610,0.0,3.73,1.3
20120128:0710,0.0,3.97,1.38
20120128:0810,433.13,4.21,1.47
20120128:0910,369.1,4.45,1.56
20120128:1010,267.0,5.13,1.72
20120128:1110,189.4,5.81,1.88
20120128:1210,115.71,6.49,2.04
20120128:1310,114.8,6.64,2.08
20120128:1410,65.2,6.78,2.12
20120128:1510,54.22,6.93,2.17
20120128:1610,3.44,6.11,1.8
20120128:1710,0.0,5.29,1.43
20120128:1810,0.0,4.47,1.06
20120128:1910,0.0,4.04,1.22
20120128:2010,0.0,3.61,1.38
20120128:2110,0.0,3.19,1.54
20120128:2210,0.0,3.06,1.5
20120128:2310,0.0,2.94,1.46
20120129:0010,0.0,2.81,1.42
20120129:0110,0.0,2.77,1.6
20120129:0210,0.0,2.73,1.79
20120129:0310,0.0,2.69,1.97
20120129:0410,0.0,2.56,1.84
20120129:0510,0.0,2.44,1.71
20120129:0610,0.0,2.31,1.59
20120129:0710,0.0,2.59,1.73
20120129:0810,22.96,2.86,1.88
20120129:0910,67.96,3.14,2.03
20120129:1010,64.29,3.82,2.26
20120129:1110,67.04,4.5,2.49
20120129:1210,76.22,5.18,2.72
20120129:1310,91.84,5.29,2.6
20120129:1410,92.75,5.41,2.49
20120129:1510,193.59,5.52,2.37
20120129:1610,3.44,4.93,2.26
20120129:1710,0.0,4.34,2.14
20120129:1810,0.0,3.75,2.03
20120129:1910,0.0,3.39,2.03
20120129:2010,0.0,3.04,2.03
20120129:2110,0.0,2.69,2.03
20120129:2210,0.0,2.58,1.99
20120129:2310,0.0,2.47,1.94
20120130:0010,0.0,2.36,1.9
20120130:0110,0.0,1.75,1.87
20120130:0210,0.0,1.13,1.83
20120130:0310,0.0,0.51,1.79
20120130:0410,0.0,0.33,1.63
20120130:0510,0.0,0.15,1.47
20120130:0610,0.0,-0.03,1.31
20120130:0710,0.0,0.43,1.39
20120130:0810,116.46,0.9,1.47
20120130:0910,42.24,1.36,1.54
20120130:1010,59.69,2.43,1.71
20120130:1110,61.53,3.49,1.89
20120130:1210,60.61,4.56,2.06
20120130:1310,43.16,4.71,1.9
20120130:1410,40.41,4.87,1.74
20120130:1510,42.24,5.02,1.59
20120130:1610,3.44,4.03,1.49
20120130:1710,0.0,3.03,1.39
20120130:1810,0.0,2.04,1.3
20120130:1910,0.0,1.74,1.12
20120130:2010,0.0,1.44,0.94
20120130:2110,0.0,1.14,0.76
20120130:2210,0.0,1.14,0.71
20120130:2310,0.0,1.14,0.66
20120131:0010,0.0,1.14,0.61
20120131:0110,0.0,1.03,0.72
20120131:0210,0.0,0.92,0.84
20120131:0310,0.0,0.8,0.95
20120131:0410,0.0,0.84,1.17
20120131:0510,0.0,0.87,1.38
20120131:0610,0.0,0.91,1.6
20120131:0710,0.0,1.22,1.66
20120131:0810,225.05,1.52,1.71
20120131:0910,68.88,1.83,1.77
20120131:1010,58.78,2.11,1.93
20120131:1110,38.57,2.38,2.1
20120131:1210,38.57,2.65,2.26
20120131:1310,56.94,2.62,1.98
