time,irradiance,h_sun,temp,wind
20160112:0010,0.0,0.0,6.19,3.97
20160112:0110,0.0,0.0,5.88,3.58
20160112:0210,0.0,0.0,5.56,3.18
20160112:0310,0.0,0.0,5.24,2.79
20160112:0410,0.0,0.0,5.09,2.62
20160112:0510,0.0,0.0,4.93,2.46
20160112:0610,0.0,0.0,4.78,2.29
20160112:0710,0.0,0.0,5.13,2.3
20160112:0810,52.74,7.26,5.47,2.31
20160112:0910,43.82,14.45,5.82,2.32
20160112:1010,88.58,19.76,6.31,2.69
20160112:1110,38.23,22.68,6.79,3.05
20160112:1210,38.23,22.89,7.28,3.42
20160112:1310,42.89,20.37,7.16,3.29
20160112:1410,37.3,15.4,7.03,3.16
20160112:1510,30.02,8.46,6.91,3.03
20160112:1610,0.0,0.0,6.34,2.74
20160112:1710,0.0,0.0,5.76,2.46
20160112:1810,0.0,0.0,5.19,2.17
20160112:1910,0.0,0.0,4.89,2.23
20160112:2010,0.0,0.0,4.6,2.3
20160112:2110,0.0,0.0,4.31,2.37
20160112:2210,0.0,0.0,4.13,2.54
20160112:2310,0.0,0.0,3.95,2.7
20160113:0010,0.0,0.0,3.77,2.87
20160113:0110,0.0,0.0,3.2,2.78
20160113:0210,0.0,0.0,2.63,2.69
20160113:0310,0.0,0.0,2.06,2.61
20160113:0410,0.0,0.0,1.86,2.36
20160113:0510,0.0,0.0,1.66,2.11
20160113:0610,0.0,0.0,1.46,1.86
20160113:0710,0.0,0.0,1.95,2.17
20160113:0810,105.48,7.34,2.43,2.48
20160113:0910,279.46,14.56,2.92,2.79
20160113:1010,431.51,19.89,3.87,2.97
20160113:1110,407.47,22.84,4.81,3.14
20160113:1210,109.09,23.07,5.75,3.32
20160113:1310,187.86,20.56,5.69,2.88
20160113:1410,325.66,15.59,5.64,2.44
20160113:1510,47.68,8.65,5.58,2.0
20160113:1610,0.0,0.0,4.71,1.61
20160113:1710,0.0,0.0,3.83,1.22
20160113:1810,0.0,0.0,2.96,0.83
20160113:1910,0.0,0.0,1.9,0.73
20160113:2010,0.0,0.0,0.85,0.63
20160113:2110,0.0,0.0,-0.2,0.52
20160113:2210,0.0,0.0,0.14,0.54
20160113:2310,0.0,0.0,0.49,0.55
20160114:0010,0.0,0.0,0.83,0.57
20160114:0110,0.0,0.0,1.42,0.78
20160114:0210,0.0,0.0,2.01,0.99
20160114:0310,0.0,0.0,2.6,1.2
20160114:0410,0.0,0.0,2.9,1.48
20160114:0510,0.0,0.0,3.19,1.75
20160114:0610,0.0,0.0,3.49,2.03
20160114:0710,0.0,0.0,3.95,2.29
20160114:0810,98.37,7.44,4.4,2.55
20160114:0910,168.36,14.68,4.86,2.81
20160114:1010,37.3,20.03,5.43,2.65
20160114:1110,54.08,23.0,5.99,2.48
20160114:1210,61.54,23.25,6.56,2.32
20160114:1310,131.71,20.75,6.62,1.82
20160114:1410,27.04,15.79,6.68,1.31
20160114:1510,29.14,8.84,6.74,0.81
20160114:1610,0.0,0.0,6.1,1.09
20160114:1710,0.0,0.0,5.47,1.36
20160114:1810,0.0,0.0,4.83,1.63
20160114:1910,0.0,0.0,4.27,1.93
20160114:2010,0.0,0.0,3.71,2.23
20160114:2110,0.0,0.0,3.16,2.54
20160114:2210,0.0,0.0,2.89,2.48
20160114:2310,0.0,0.0,2.63,2.42
20160115:0010,0.0,0.0,2.36,2.36
20160115:0110,0.0,0.0,1.84,2.52
20160115:0210,0.0,0.0,1.31,2.68
20160115:0310,0.0,0.0,0.78,2.84
20160115:0410,0.0,0.0,0.62,2.8
20160115:0510,0.0,0.0,0.45,2.76
20160115:0610,0.0,0.0,0.29,2.72
20160115:0710,0.0,0.0,0.55,3.09
20160115:0810,182.66,7.54,0.81,3.46
20160115:0910,460.06,14.8,1.07,3.83
20160115:1010,609.61,20.18,1.86,3.78
20160115:1110,603.12,23.17,2.65,3.72
20160115:1210,436.47,23.43,3.44,3.67
20160115:1310,417.94,20.94,3.15,3.47
20160115:1410,201.82,15.98,2.87,3.26
20160115:1510,17.66,9.04,2.58,3.06
20160115:1610,0.0,0.0,1.8,2.87
20160115:1710,0.0,0.0,1.02,2.69
20160115:1810,0.0,0.0,0.24,2.5
20160115:1910,0.0,0.0,0.03,2.74
20160115:2010,0.0,0.0,-0.18,2.98
20160115:2110,0.0,0.0,-0.38,3.23
20160115:2210,0.0,0.0,-0.34,3.34
20160115:2310,0.0,0.0,-0.29,3.45
20160116:0010,0.0,0.0,-0.24,3.56
20160116:0110,0.0,0.0,-0.48,3.63
20160116:0210,0.0,0.0,-0.72,3.71
20160116:0310,0.0,0.0,-0.96,3.78
20160116:0410,0.0,0.0,-0.93,3.86
20160116:0510,0.0,0.0,-0.9,3.94
20160116:0610,0.0,0.0,-0.87,4.01
20160116:0710,0.0,0.0,-0.46,4.65
20160116:0810,8.39,7.64,-0.05,5.28
20160116:0910,28.9,14.93,0.36,5.92
20160116:1010,65.27,20.33,0.96,5.97
20160116:1110,129.7,23.34,1.56,6.03
20160116:1210,182.29,23.63,2.16,6.08
20160116:1310,27.97,21.14,2.08,5.71
20160116:1410,63.24,16.19,2.01,5.35
20160116:1510,22.96,9.24,1.93,4.98
20160116:1610,0.0,0.0,1.18,4.64
20160116:1710,0.0,0.0,0.42,4.3
20160116:1810,0.0,0.0,-0.33,3.96
20160116:1910,0.0,0.0,-0.59,3.86
20160116:2010,0.0,0.0,-0.84,3.77
20160116:2110,0.0,0.0,-1.09,3.67
20160116:2210,0.0,0.0,-1.05,3.65
20160116:2310,0.0,0.0,-1.0,3.63
20160117:0010,0.0,0.0,-0.96,3.61
20160117:0110,0.0,0.0,-1.03,3.81
20160117:0210,0.0,0.0,-1.11,4.0
20160117:0310,0.0,0.0,-1.19,4.19
20160117:0410,0.0,0.0,-1.31,3.78
20160117:0510,0.0,0.0,-1.42,3.37
20160117:0610,0.0,0.0,-1.54,2.97
20160117:0710,0.0,0.0,-1.17,3.32
20160117:0810,44.95,7.76,-0.81,3.68
20160117:0910,64.38,15.07,-0.44,4.04
20160117:1010,58.74,20.49,0.47,4.29
20160117:1110,85.78,23.53,1.37,4.55
20160117:1210,58.74,23.83,2.28,4.8
20160117:1310,51.28,21.35,2.31,4.71
20160117:1410,42.89,16.4,2.34,4.62
20160117:1510,31.79,9.44,2.37,4.52
20160117:1610,0.0,0.0,1.59,3.92
20160117:1710,0.0,0.0,0.82,3.32
20160117:1810,0.0,0.0,0.04,2.72
20160117:1910,0.0,0.0,-0.73,2.35
20160117:2010,0.0,0.0,-1.5,1.99
20160117:2110,0.0,0.0,-2.27,1.63
20160117:2210,0.0,0.0,-2.99,1.56
20160117:2310,0.0,0.0,-3.7,1.49
